C0001 Cafe,Donuts,Frites,Coca
C0698 Coca,Nuggets,Eau,Glace
C0699 Cafe,Potatoes
C0700 Milk-Shake,Hamburger,Cookies
C0701 Eau,Potatoes,Sprite
C0702 Cafe,Glace
C0703 Salade,Cafe
C0704 Cookies,Salade
C0705 Nuggets,Hamburger,Cafe,Donuts
C0706 Sprite,Eau,Frites,Cafe
C0707 Milk-Shake,Potatoes,Donuts,Wrap
C0708 Potatoes,Hamburger,Glace,Coca,Donuts
C0709 Glace,Potatoes,Sprite
C0710 Salade,Milk-Shake,Donuts
C0711 Eau,Cafe,Donuts
C0712 Eau,Frites
C0713 Eau,Cafe
C0714 Frites,Donuts
C0715 Sprite,Milk-Shake,Nuggets
C0716 Eau,Cafe
C0717 Salade,Sprite
C0718 Cookies,Hamburger,Sprite,Milk-Shake,Coca
C0719 Nuggets,Salade,Eau
C0720 Cafe,Glace,Milk-Shake
C0721 Milk-Shake,Cookies,Cafe
C0722 Milk-Shake,Cafe,Nuggets
C0723 Glace,Frites,Nuggets,Coca
C0724 Hamburger,Glace,Frites,Coca
C0725 Cafe,Donuts
C0726 Potatoes,Donuts
C0727 Potatoes,Sprite,Donuts
C0728 Milk-Shake,Eau
C0729 Donuts,Cafe,Hamburger
C0730 Salade,Cafe
C0731 Hamburger,Cookies,Sprite,Frites,Glace
C0732 Salade,Frites,Nuggets
C0733 Wrap,Potatoes
C0734 Sprite,Wrap,Cookies,Potatoes
C0735 Cookies,Salade,Donuts,Sprite
C0736 Potatoes,Cookies
C0737 Cookies,Eau,Salade
C0738 Milk-Shake,Cookies,Cafe
C0739 Sprite,Cafe,Cookies
C0740 Nuggets,Hamburger,Glace,Salade
C0741 Milk-Shake,Cookies,Eau
C0742 Eau,Milk-Shake
C0743 Donuts,Sprite,Frites,Potatoes
C0744 Sprite,Glace,Wrap
C0745 Eau,Frites
C0746 Eau,Donuts
C0747 Frites,Hamburger,Cookies,Milk-Shake
C0748 Milk-Shake,Eau
C0749 Frites,Salade
C0750 Salade,Donuts
C0751 Wrap,Cafe,Salade
C0752 Hamburger,Salade,Glace
C0753 Donuts,Glace,Frites,Nuggets
C0754 Potatoes,Wrap,Milk-Shake
C0755 Nuggets,Milk-Shake
C0756 Coca,Cookies
C0757 Hamburger,Glace,Frites,Wrap
C0758 Milk-Shake,Potatoes,Wrap
C0759 Cookies,Milk-Shake
C0760 Hamburger,Wrap,Salade,Frites
C0761 Cafe,Milk-Shake
C0762 Sprite,Wrap,Potatoes
C0763 Cafe,Donuts,Glace
C0764 Cookies,Potatoes,Wrap
C0765 Nuggets,Frites,Salade,Hamburger
C0766 Cookies,Milk-Shake,Donuts
C0767 Hamburger,Cookies
C0768 Milk-Shake,Salade,Cookies
C0769 Coca,Frites,Cookies,Milk-Shake
C0770 Eau,Nuggets,Salade
C0771 Cookies,Hamburger,Donuts,Salade,Coca
C0772 Wrap,Glace,Hamburger,Milk-Shake
C0773 Wrap,Cookies,Milk-Shake
C0774 Salade,Frites
C0775 Glace,Frites,Eau
C0776 Milk-Shake,Cookies
C0777 Milk-Shake,Eau
C0778 Cafe,Wrap,Sprite,Potatoes
C0779 Potatoes,Sprite,Donuts
C0780 Coca,Frites,Milk-Shake,Cookies,Hamburger
C0781 Donuts,Cafe
C0782 Nuggets,Cookies,Milk-Shake
C0783 Wrap,Milk-Shake,Donuts,Cookies
C0784 Wrap,Potatoes,Glace,Sprite
C0785 Wrap,Milk-Shake,Sprite,Donuts
C0786 Sprite,Potatoes,Cookies
C0787 Sprite,Wrap,Salade
C0788 Potatoes,Donuts,Cafe
C0789 Donuts,Potatoes,Cafe
C0790 Milk-Shake,Cafe
C0791 Nuggets,Potatoes,Eau,Sprite
C0792 Wrap,Sprite,Potatoes
C0793 Hamburger,Coca,Milk-Shake,Eau
C0794 Eau,Salade,Nuggets
C0795 Frites,Donuts
C0796 Salade,Eau,Nuggets
C0797 Nuggets,Salade,Eau
C0798 Sprite,Potatoes,Eau
C0799 Milk-Shake,Glace
C0800 Donuts,Cafe
C0801 Donuts,Cafe
C0802 Hamburger,Cookies
C0803 Potatoes,Donuts,Wrap
C0804 Wrap,Donuts,Milk-Shake,Nuggets
C0805 Hamburger,Coca,Glace,Frites
C0806 Wrap,Sprite,Donuts
C0807 Milk-Shake,Coca,Potatoes
C0808 Wrap,Sprite,Glace,Coca
C0809 Coca,Cafe
C0810 Milk-Shake,Cafe,Sprite
C0811 Cafe,Milk-Shake
C0812 Cookies,Milk-Shake,Glace,Frites
C0813 Eau,Salade,Nuggets
C0814 Coca,Glace,Frites,Wrap
C0815 Cafe,Donuts,Potatoes
C0816 Potatoes,Salade,Cookies
C0817 Cookies,Wrap,Milk-Shake
C0818 Eau,Frites,Nuggets
C0819 Milk-Shake,Cafe,Nuggets
C0820 Potatoes,Milk-Shake
C0821 Frites,Donuts
C0822 Nuggets,Salade,Milk-Shake,Eau
C0823 Eau,Sprite,Milk-Shake
C0824 Wrap,Potatoes,Milk-Shake
C0825 Milk-Shake,Cookies
C0826 Wrap,Milk-Shake,Sprite
C0827 Glace,Donuts,Frites,Hamburger,Potatoes
C0828 Frites,Hamburger,Salade,Coca,Glace
C0829 Salade,Nuggets,Sprite
C0830 Frites,Wrap,Sprite
C0831 Donuts,Nuggets,Wrap
C0832 Cookies,Milk-Shake
C0833 Frites,Eau,Nuggets,Salade
C0834 Potatoes,Sprite,Glace,Cafe
C0835 Cookies,Eau,Donuts
C0836 Milk-Shake,Cafe
C0837 Nuggets,Eau,Salade
C0838 Milk-Shake,Cafe
C0839 Cookies,Milk-Shake,Salade
C0840 Wrap,Potatoes,Nuggets,Sprite
C0841 Potatoes,Donuts,Sprite,Cafe
C0842 Cookies,Cafe
C0843 Milk-Shake,Eau,Cafe
C0844 Nuggets,Salade,Eau,Potatoes
C0845 Sprite,Cafe
C0846 Potatoes,Wrap
C0847 Cafe,Sprite,Potatoes
C0848 Coca,Frites
C0849 Eau,Cafe
C0850 Sprite,Cookies
C0851 Nuggets,Cafe
C0852 Donuts,Cafe
C0853 Frites,Cookies
C0854 Wrap,Cafe,Hamburger,Potatoes
C0855 Cookies,Nuggets,Milk-Shake
C0856 Cafe,Donuts,Cookies
C0857 Potatoes,Cafe,Donuts
C0858 Sprite,Potatoes,Glace
C0859 Sprite,Wrap,Hamburger
C0860 Glace,Hamburger,Cafe,Frites,Coca
C0861 Glace,Nuggets,Eau,Coca
C0862 Potatoes,Cookies
C0863 Milk-Shake,Cookies,Glace,Coca,Hamburger
C0864 Donuts,Wrap,Potatoes
C0865 Frites,Glace,Salade,Cafe
C0866 Milk-Shake,Eau,Salade
C0867 Cookies,Milk-Shake
C0868 Wrap,Cookies
C0869 Wrap,Milk-Shake
C0870 Glace,Hamburger,Coca,Frites
C0871 Cookies,Eau,Sprite,Milk-Shake
C0872 Hamburger,Donuts,Sprite
C0873 Hamburger,Salade,Nuggets,Eau
C0874 Cookies,Frites,Eau
C0875 Cafe,Eau,Salade
C0876 Cookies,Donuts,Wrap
C0877 Salade,Donuts,Nuggets,Cookies
C0878 Wrap,Milk-Shake,Coca,Potatoes
C0879 Milk-Shake,Potatoes
C0880 Nuggets,Eau,Milk-Shake
C0881 Cookies,Milk-Shake,Donuts,Glace
C0882 Hamburger,Sprite,Wrap
C0883 Eau,Donuts,Cafe
C0884 Salade,Wrap
C0885 Cafe,Salade,Nuggets,Cookies
C0886 Salade,Donuts,Cafe
C0887 Wrap,Eau,Frites,Coca
C0888 Sprite,Nuggets,Potatoes,Eau
C0889 Nuggets,Salade,Donuts
C0890 Milk-Shake,Hamburger,Donuts,Cookies
C0891 Milk-Shake,Cookies,Sprite
C0892 Donuts,Cafe
C0893 Cookies,Nuggets,Frites
C0894 Wrap,Sprite,Salade
C0895 Hamburger,Frites,Cookies,Wrap
C0896 Milk-Shake,Sprite,Frites,Glace
C0897 Salade,Milk-Shake,Eau
C0898 Cafe,Donuts
C0899 Eau,Potatoes,Sprite,Salade
C0900 Cafe,Potatoes,Milk-Shake
C0901 Sprite,Cookies,Eau,Nuggets
C0902 Salade,Eau,Potatoes
C0903 Cookies,Donuts,Milk-Shake
C0904 Coca,Glace,Cookies,Frites,Eau
C0905 Salade,Glace,Potatoes
C0906 Salade,Milk-Shake,Cafe
C0907 Cafe,Donuts,Wrap
C0908 Glace,Potatoes,Donuts,Coca,Cafe
C0909 Coca,Frites,Milk-Shake,Sprite
C0910 Cookies,Hamburger,Glace,Coca
C0911 Cookies,Sprite,Milk-Shake
C0912 Glace,Sprite
C0913 Milk-Shake,Salade,Donuts,Eau
C0914 Cafe,Potatoes,Salade
C0915 Potatoes,Milk-Shake,Wrap
C0916 Sprite,Glace,Cookies,Wrap
C0917 Cookies,Donuts
C0918 Nuggets,Milk-Shake
C0919 Cookies,Coca
C0920 Eau,Salade,Milk-Shake
C0921 Donuts,Cafe,Eau
C0922 Nuggets,Salade,Eau
C0923 Sprite,Cafe,Donuts,Nuggets,Wrap
C0924 Coca,Glace
C0925 Salade,Wrap,Nuggets
C0926 Donuts,Cookies
C0927 Frites,Cafe,Hamburger
C0928 Nuggets,Salade,Eau
C0929 Hamburger,Eau,Frites,Glace
C0930 Cookies,Glace
C0931 Salade,Glace,Cookies,Hamburger,Coca
C0932 Cafe,Frites,Donuts,Hamburger
C0933 Wrap,Sprite,Potatoes
C0934 Frites,Hamburger,Coca,Cafe
C0935 Milk-Shake,Cookies,Glace
C0936 Nuggets,Salade,Frites,Eau
C0937 Eau,Nuggets,Glace
C0938 Cafe,Donuts
C0939 Cookies,Nuggets,Glace
C0940 Frites,Donuts,Cafe,Eau
C0941 Milk-Shake,Donuts,Salade,Cookies
C0942 Donuts,Milk-Shake
C0943 Eau,Wrap,Hamburger,Cafe
C0944 Eau,Salade,Hamburger
C0945 Nuggets,Milk-Shake,Wrap
C0946 Cookies,Donuts,Sprite
C0947 Cafe,Sprite
C0948 Nuggets,Donuts,Salade
C0949 Cookies,Milk-Shake,Glace
C0950 Donuts,Cafe
C0951 Cookies,Coca
C0952 Cafe,Donuts,Milk-Shake
C0953 Coca,Cookies,Hamburger,Nuggets
C0954 Salade,Cafe,Donuts
C0955 Cafe,Wrap,Potatoes
C0956 Cookies,Donuts
C0957 Frites,Milk-Shake,Donuts
C0958 Milk-Shake,Glace,Cookies
C0959 Donuts,Cookies
C0960 Donuts,Cafe
C0961 Nuggets,Coca,Cookies
C0962 Wrap,Milk-Shake,Salade,Hamburger,Coca
C0963 Donuts,Eau,Salade,Cafe
C0964 Cafe,Potatoes,Sprite
C0965 Frites,Nuggets,Hamburger,Cookies,Coca
C0966 Milk-Shake,Cookies,Wrap
C0967 Cookies,Wrap,Hamburger,Milk-Shake,Donuts
C0968 Hamburger,Eau,Salade,Nuggets
C0969 Glace,Cafe
C0970 Frites,Cafe,Sprite
C0971 Nuggets,Salade,Eau
C0972 Sprite,Eau
C0973 Salade,Wrap,Cafe
C0974 Milk-Shake,Cookies
C0975 Frites,Nuggets
C0976 Nuggets,Sprite,Eau
C0977 Salade,Donuts
C0978 Cookies,Glace,Salade,Coca
C0979 Cookies,Milk-Shake
C0980 Eau,Donuts,Potatoes
C0981 Hamburger,Milk-Shake,Sprite
C0982 Potatoes,Sprite,Cookies
C0983 Cookies,Sprite,Wrap,Glace
C0984 Cafe,Salade,Donuts
C0985 Wrap,Sprite,Nuggets
C0986 Milk-Shake,Cookies
C0987 Hamburger,Glace,Cafe,Wrap
C0988 Donuts,Milk-Shake
C0989 Donuts,Cafe,Potatoes,Eau
C0990 Nuggets,Milk-Shake,Cookies
C0991 Glace,Sprite,Hamburger
C0992 Cafe,Salade,Milk-Shake
C0993 Coca,Frites,Glace,Hamburger
C0994 Potatoes,Cookies
C0995 Eau,Milk-Shake,Salade
C0996 Salade,Potatoes,Donuts
C0997 Nuggets,Eau,Salade
C0998 Hamburger,Milk-Shake,Wrap,Nuggets
C0999 Milk-Shake,Cookies
C1000 Nuggets,Milk-Shake,Cookies
