Identifiant;Type d'événement;Ident Type;Lieu de l'événement;Nom Organisme;Type d'organisme;Ident Organisme;Etat;Theme;Style;Catégorie;Genre;Ident Genre;Titre;Texte Début;Texte Milieu;Texte Fin;Commune;Département;Code INSEE;Code Postal;Coordonnées GPS;Date Modification;Jour 1;Jour 2;Jour 3;Jour Du;Jour Au;Jour Min;Jour Max;Mention Gratuit;Mention Payant;Tarif Général;Tarif réduit;Tarif Autre;Photo 1 Chemin;Photo 1 Légende;Photo 1 Crédit;Photo 2 Chemin;Photo 2 Légende;Photo 2 Crédit;Photo 3 Chemin;Photo 3 Légende;Photo 3 Crédit;Age Minimum;Age Maximum;Durée;Mention Complet;Mention Accessible Handicap;Lien Billeterie;Liens Vidéo;Liens Son;Liens Dossiers De Presse;Tags;Groupes;Titre Libre;Texte Libre Court;Texte Libre Long;Groupes Organismes;Nombres Participants;Nombre Exposants;URL Agenda Ouest-France;Groupes Ident;Groupes Organismes Ident;Langues;Langues Ident;Thematiques;Thematiques Ident;Categorie age;Categorie age Ident
6414961;Don du sang, vaccination;34;35/Pont-Péan;Etablissement Français du Sang;Administration, service public, parapublic;116002;V;Pratique;Vie quotidienne;Don du sang, vaccination;Don du sang;85;Don du sang;;L'établissement français du sang a besoin de tous pour répondre aux besoins de 34 000 patients par an en Bretagne.;Mardi 12 février, 14h30 à 19h, espace Beausoleil, Pont-Péan. Contact : 02 99 54 42 22, bretagne@efs.sante.fr, http://Dondesang.efs.sante.fr;Pont-Péan;35;35363;35131;48.01309, -1.70819;2019-01-17;2019-02-12;;;;;2019-02-12;2019-02-12;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;Facebook;;;https://infolocale.ouest-france.fr/pont-pean-35363/agenda/don-du-sang_6414961;;52;Français;fr_FR;;;;
6412725;Réunion, assemblée;17;35/Parigné;Unc;Association;330140;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;A.F.N, Soldats de France et Opex;Assemblée générale.;Elle aura lieu dimanche 3 février, à 10 h 30, salle Annexe. Encaissement des cotisations, compte rendu moral et financier, élection du tiers sortant. Verre de l’amitié, présence indispensable.;Dimanche 3 février, 10h30, Salle Annexe, Parigné.;Parigné;35;35215;35133;48.4286, -1.19063;2019-01-17;2019-02-03;;;;;2019-02-03;2019-02-03;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/parigne-35215/agenda/afn-soldats-de-france-et-opex_6412725;;;Français;fr_FR;;;;
6414745;Don du sang, vaccination;34;35/Liffré;Etablissement Français du Sang;Administration, service public, parapublic;116002;V;Pratique;Vie quotidienne;Don du sang, vaccination;Don du sang;85;Don du sang;;L'Établissement français du sang a besoin de tous pour répondre aux besoins de 34 000 patients par an en Bretagne.;Vendredi 1er février, 10h à 13h et 15h à 19h, espace intergénérationnel, Liffré.;Liffré;35;35152;35340;48.21409, -1.50621;2019-01-17;2019-02-01;;;;;2019-02-01;2019-02-01;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;Facebook;;;https://infolocale.ouest-france.fr/liffre-35152/agenda/don-du-sang_6414745;;52;Français;fr_FR;;;;
6412917;Danser;19;35/Domloup;Amicale des anciens élus;Association;349034;V;Loisir;Danser, vie nocturne;Danser;Après-midi dansant;180;Après-midi dansant;Yannick sourdin.;Boissons et goûter offert par l’amicale. Tables à disposition.;Mardi 29 janvier, salle des fêtes, allée de l’étang, Domloup. Tarif 6€. Contact : 02 99 37 48 02.;Domloup;35;35099;35410;48.0616, -1.522218;2019-01-17;2019-01-29;;;;;2019-01-29;2019-01-29;non;oui;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/domloup-35099/agenda/apres-midi-dansant_6412917;;;Français;fr_FR;;;;
6414855;Réunion, assemblée;17;44/Saint-Brevin-les-Pins;338ème section médaillés militaires saint nazaire saint brevin;Association;385112;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;338e section médaillés militaires Saint-Nazaire, Saint-Brévin;Assemblée générale.;Accueil des participants à partir de 9 h 30. Les titulaires de la médaille militaires et sympathisants sont cordialement invités. Cette assemblée générale suivie du verre de l'amitié et d'un repas.;Samedi 2 février, 10h, salle des Dunes, proximité mairie, Saint-Brevin-les-Pins. Contact : 06 81 64 01 62, roger_cdn@orange.fr;Saint-Brevin-les-Pins;44;44154;44250;47.24752, -2.167818;2019-01-17;2019-02-02;;;;;2019-02-02;2019-02-02;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/saint-brevin-les-pins-44154/agenda/338e-section-medailles-militaires-saint-nazaire-saint-brevin_6414855;;;Français;fr_FR;;;;
6414799;Visite;27;29/Concarneau;Ville de Concarneau;Administration, service public, parapublic;380225;V;Loisir;Voir visiter;Sorties, visites (monuments, parcs, zoo,...);Sortie nature;334;Sortie nature, observation des oiseaux des jardins;;Organisé dans le cadre de l’Atlas de la biodiversité communale, participez à notre rendez-vous ornithologique mensuel animé par Damien, animateur nature à Bretagne vivante. Thème du jour : découvrir et participer à l’opération de comptage des oiseaux des jardins.;Mercredi 23 janvier, 10h, devant l’Office de tourisme, Concarneau. Gratuit. Contact et réservation : 06 07 19 96 63, damien.vedrenne@bretagne-vivante.org;Concarneau;29;29039;29900;47.87237, -3.92156;2019-01-17;2019-01-23;;;;;2019-01-23;2019-01-23;oui;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/concarneau-29039/agenda/sortie-nature-observation-des-oiseaux-des-jardins_6414799;;;Français;fr_FR;;;;
6414706;Réunion, assemblée;17;29/Guengat;Club de l'amitié;Association;110745;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;Club de l’amitié;Assemblée générale.;Elle sera suivie d’un repas pour lequel l’inscription est à faire, au plus tard le lundi 21 janvier, auprès de René Le Gall (02 98 55 64 84) ou Annick Jouin (02 98 91 05 81).;Dimanche 27 janvier, 11h, local club de l’amitié, 19, rue de la Mairie, Guengat.;Guengat;29;29066;29180;48.04192, -4.20469;2019-01-17;2019-01-27;;;;;2019-01-27;2019-01-27;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/guengat-29066/agenda/club-de-lamitie_6414706;;;Français;fr_FR;;;;
6414879;Réunion, assemblée;17;72/Clermont-Créans;Mairie de Clermont-Créans;Mairie;63637;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Conseil municipal;98;Conseil municipal;;Présentation PADD du PLUi, tarifs horaires des engins et matériels, autorisation d’engagement investissement et fonctionnement.;Lundi 21 janvier, 20h30, mairie, 4, rue Nationale, Clermont-Créans.;Clermont-Créans;72;72084;72200;47.71837, -0.01393;2019-01-17;2019-01-21;;;;;2019-01-21;2019-01-21;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/clermont-creans-72084/agenda/conseil-municipal_6414879;;;Français;fr_FR;;;;
6414967;Réunion, assemblée;17;72/Requeil;Mairie de Requeil;Mairie;74353;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Conseil municipal;98;Conseil municipal;Vendredi 25 janvier, 20h, mairie, place du 8-Mai-1945, Requeil.;;;Requeil;72;72252;72510;47.78489, 0.161496;2019-01-17;2019-01-25;;;;;2019-01-25;2019-01-25;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/requeil-72252/agenda/conseil-municipal_6414967;;;Français;fr_FR;;;;
6412933;Spectacle;21;35/Bécherel;théâtre de Bécherel;Association;378646;V;Loisir;Concerts, spectacles;Autres scènes;Théâtre;5;Du flouze, du blé, de l’oseille et des thunes;Théâtre.;La compagnie les Joyeux grillons présente son nouveau spectacle écrit par Jean-Paul Cantineaux. Une paisible agence bancaire où Johnny, Laura et Gabriel font irruption, armés et masqués. Reste à savoir qui mettra la main sur le pactole... Précédé par Les secrétaires de Laurent Roitg.;Samedi 9 mars, 20h30, dimanche 10 mars, 14h30, théâtre de Bécherel, 7, chemin de la Roncette, Bécherel. Tarif 6€, réduit 3.50€. Contact : theatredebecherel@gmail.com;Bécherel;35;35022;35190;48.29571, -1.94558;2019-01-17;2019-03-09;2019-03-10;;;;2019-03-09;2019-03-10;non;oui;6.0;3.5;;;;;;;;;;;;;;False;;;;;;Humour|Les Joyeux Grillons|Oseille|Pognon|Théâtre amateur|Théâtre de Bécherel|Thunes|Bécherel|Blé|Flouze;;;;;;;;https://infolocale.ouest-france.fr/becherel-35022/agenda/du-flouze-du-ble-de-loseille-et-des-thunes_6412933;;;Français;fr_FR;;;;
6414840;Action caritative;26;50/Gavray-sur-Sienne;Chapeaux de Martine;Association;376412;V;Pratique;Vie quotidienne;Quête, vente caritative, appel aux dons;Opération solidarité;97;Chapeaux de Martine;Opération solidarité.;Toutes les bonnes volontés sont invitées à venir coudre et ou tricoter bénévolement des chapeaux, foulards, turbans destinés aux malades du cancer et distribués gratuitement aux patients à l’atelier et dans les hôpitaux. Apporter son matériel de couture mais les patrons et tissus sont fournis.;Mardi 22 janvier, 14h, Impasse de la mairie, Gavray, Gavray-sur-Sienne. Contact et réservation : 06 76 95 42 30, rolande.letouzey@wanadoo.fr, http://facebook.com/Les-chapeaux-de-Martine;Gavray-sur-Sienne;50;50197;50450;48.90978, -1.35053;2019-01-17;2019-01-22;;;;;2019-01-22;2019-01-22;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/gavray-sur-sienne-50197/agenda/chapeaux-de-martine_6414840;;;Français;fr_FR;;;;
6413747;Atelier, activité de loisirs;31;35/Rennes;Los Loquitos de la salsa;Association;285802;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Cours, inscription;218;Initiation Salsa;;Los Loquitos de la Salsa propose une initiation salsa dans le cadre du festival Abmozik organisé par des étudiants en licence 3 management des sports en faveur de l’association TACRISA qui aide à développer les écoles au Niger.;Jeudi 24 janvier, 21h, la Tour d’Auvergne, 8, passage du Couëdic, Rennes. Gratuit. Contact : http://www.losloquitos.com;Rennes;35;35238;35000;48.12, -1.67;2019-01-17;2019-01-24;;;;;2019-01-24;2019-01-24;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0116/6413747/_1.jpg;Los Loquitos de la Salsa;;;;;;;;;;;;;;;;;;;;;;Facebook;;;https://infolocale.ouest-france.fr/rennes-35238/agenda/initiation-salsa_6413747;;52;Français;fr_FR;;;;
6415036;Concert;15;35/Rennes;Conservatoire à rayonnement régional, action culturelle;Équipement (tourisme, culture, sport et loisir);268164;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Autre;168;Nuit électrique;;Un final haut en couleur pour clore ce temps fort dédié à la création contemporaine. Au programme : musique assistée par ordinateur, interactions en temps réel, bandes sonores, instruments électroniques.;Jeudi 7 février, 20h, Maison des Associations, 6, cours des Alliés, Rennes. Gratuit. Contact : 02 23 62 22 50, http://conservatoire-rennes.fr/;Rennes;35;35238;35000;48.10496, -1.676366;2019-01-17;2019-02-07;;;;;2019-02-07;2019-02-07;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6415036/_1.jpg;;;;;;;;;;;;;;;;;;;;;;;Facebook;;;https://infolocale.ouest-france.fr/rennes-35238/agenda/nuit-electrique_6415036;;52;Français;fr_FR;;;;
6415031;Exposition, musée;23;22/Plérin;Ville de Plérin, culture;Administration, service public, parapublic;298829;V;Loisir;Voir visiter;Exposition, musée;Exposition;149;Antoine Birot, Les rois, la cité et l’agneau;Exposition.;Sculptures et sculptures mécaniques. Antoine Birot, artiste angevin, bricoleur, créateur, musicien.;Jusqu'au samedi 16 février, centre culturel Le Cap, 6, rue de la Croix, Plérin. Contact : 02 96 79 86 00.;Plérin;22;22187;22190;48.53296, -2.76858;2019-01-17;;;;2019-01-17;2019-02-16;2019-01-17;2019-02-16;non;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6415031/_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/plerin-22187/agenda/antoine-birot-les-rois-la-cite-et-lagneau_6415031;;;Français;fr_FR;;;;
6414851;Réunion, assemblée;17;79/Ardin;Ville d'Ardin;Mairie;160858;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Conseil municipal;98;Conseil municipal;;A l'ordre du jour : modification des statuts de la communauté de communes Val de Gâtine, consultation du centre de gestion pour la mise en conformité du RGPD, mandat au centre de gestion pour le lancement en 2019 d'une consultation pour la mise en place d'une nouvelle convention de participation pour la prévoyance, augmentation du temps de travail de Mr DUPUIS Hassan du 1er février au 31 août, avenant au bail commercial du bar restaurant, questions diverses.;Lundi 21 janvier, 20h30, mairie, Ardin.;Ardin;79;79012;79160;46.47375, -0.5582;2019-01-17;2019-01-21;;;;;2019-01-21;2019-01-21;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/ardin-79012/agenda/conseil-municipal_6414851;;;Français;fr_FR;;;;
6414445;Sport;24;85/Benet;Sud-Vendée football;Association;224474;V;Loisir;Loisirs et sports;Sport;Mémento sportif;289;Sud-Vendée football;Mémento sportif.;"Samedi, 10 h 15, U13 D4 SVF2 contre Hermenault FCPB2. Dimanche, 13 h, championnat départemental féminin adulte SVF contre Les Essarts FCG ; 15 h, SVF2 contre Nalliers Foot Espoir2. SVF1 se déplace à La Génetouze, à 15 h, stade Gabriel Gendreau2.";Samedi 19, dimanche 20 janvier, stade municipal André-Poplineau, rue de l'Aumônerie, Benet.;Benet;85;85020;85490;46.36707, -0.5856056;2019-01-17;2019-01-19;2019-01-20;;;;2019-01-19;2019-01-20;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/benet-85020/agenda/sud-vendee-football_6414445;;;Français;fr_FR;;;;
6415138;Atelier, activité de loisirs;31;44/Nantes;O Pigmentée;Association;391130;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Autre;141;Stage de yoga et mandala créatif pour enfants;;Pour que les enfants retrouvent le réflexe de respirer en conscience. Une meilleure concentration, de prendre conscience de soi et de ses capacités, de canaliser la suractivité, d’apprendre à se structurer, de prendre conscience de son potentiel créatif, d’accueillir le rythme du groupe, etc.;Samedi 26 janvier, 14h, Atelier O Pigmentée, 18, rue Capitaine-Corhumel (Quartier Viarme), Nantes. Tarif 36€, réduit 30€, autre : pour deux enfants de la même famille 62 €. Inscription avant le 26 janvier. Contact : atelier.opigmentee@gmail.com, https://www.weezevent.com/stage-yoga-mandala-enfants;Nantes;44;44109;44000;47.21888, -1.562692;2019-01-17;2019-01-26;;;;;2019-01-26;2019-01-26;non;oui;36.0;30.0;pour deux enfants de la même famille 62 €;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6415138/_1.jpg;;Atelier O Pigmentée;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6415138/_2.jpg;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6415138/_3.jpg;;Atelier O Pigmentée;4;12;180;False;Auditif|Mental|Moteur;https://www.weezevent.com/stage-yoga-mandala-enfants;;;;;;Stage de Yoga et Mandala Créatif pour enfant;;Pour que les enfants retrouvent le réflexe de respirer en conscience.  Une meilleure concentration, de prendre conscience de soi et de ses capacités, de canaliser la suractivité, d'apprendre à se structurer, de prendre conscience de son potentiel créatif, d'accueillir le rythme du groupe, de s'intégrer au sein d'un groupe, de respecter l'expression créatrice de l'autre et de s'approcher du monde de la géométrie.;;14;;https://infolocale.ouest-france.fr/nantes-44109/agenda/stage-de-yoga-et-mandala-creatif-pour-enfants_6415138;;;Français;fr_FR;;;Enfant;3
6414309;Journée portes ouvertes;33;44/Clisson;Collège Immaculée Conception La Salle;Etablissement scolaire, universitaire;391103;V;Loisir;Voir visiter;Portes ouvertes, forums;Portes ouvertes, forums;146;Portes ouvertes au collège Immaculée Conception la Salle;;Visite guidée d'une durée d'1 h 30 ou visite libre. Le personnel enseignant, le personnel administratif, de restauration et de services, les élèves et leurs parents (Ogec et Apel) feront ainsi découvrir la vie de leur collège. Il sera possible de procéder à des inscriptions ce même jour.;Samedi 26 janvier, 9h à 13h, 65, rue Dr M. Boutin, Clisson. Contact : 02 40 54 01 77, contact@sfic44.fr, http://imma-clisson.loire-atlantique.e-lyco.fr;Clisson;44;44043;44190;47.0886, -1.27787;2019-01-17;2019-01-26;;;;;2019-01-26;2019-01-26;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/clisson-44043/agenda/portes-ouvertes-au-college-immaculee-conception-la-salle_6414309;;;Français;fr_FR;;;;
6414636;Réunion, assemblée;17;53/Changé;Cerfrance Mayenne Sarthe;Association;345248;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;Cerfrance Mayenne-Sarthe, agence de Saint-Berthevin;Assemblée générale.;« Quelles trajectoires stratégiques pour être dans la course aujourd’hui et demain ? » est le thème présenté cette année aux adhérents du secteur agricole et de la filière équine.;Vendredi 1er février, 10h15, salle des Nymphéas, place Christian-d’Elva, Changé. Contact : 02 43 49 84 00, contact@53-72.cerfrance.fr, http://www.53-72.cerfrance.fr;Changé;53;53054;53810;48.09853, -0.789241;2019-01-17;2019-02-01;;;;;2019-02-01;2019-02-01;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/change-53054/agenda/cerfrance-mayenne-sarthe-agence-de-saint-berthevin_6414636;;;Français;fr_FR;;;;
6414738;Réunion, assemblée;17;53/Moulay;Cerfrance Mayenne Sarthe;Association;345248;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;Cerfrance Mayenne-Sarthe, agences Mayenne Ernée-Villaines-la-Juhel;Assemblée générale.;« Comment adapter l’entreprise aux nouvelles générations ? » est le thème présenté cette année aux adhérents dirigeants de TME TPE, artisans, commerçants, et professionnels en libéral.;Mardi 29 janvier, 19h30, hôtel La Marjolaine, Le Bas Mont, Moulay. Contact : 02 43 49 84 00, contact@53-72.cerfrance.fr, http://www.53-72.cerfrance.fr;Moulay;53;53162;53100;48.3, -0.61;2019-01-17;2019-01-29;;;;;2019-01-29;2019-01-29;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/moulay-53162/agenda/cerfrance-mayenne-sarthe-agences-mayenne-ernee-villaines-la-juhel_6414738;;;Français;fr_FR;;;;
6414654;Réunion, assemblée;17;53/Levaré;Cerfrance Mayenne Sarthe;Association;345248;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;Cerfrance Mayenne-Sarthe, agence de Gorron;Assemblée générale.;« Quelles trajectoires stratégiques pour être dans la course aujourd’hui et demain ? » est le thème présenté cette année aux adhérents du secteur agricole et de la filière équine.;Mardi 5 février, 14h, salle communale, route de la Dorée, Levaré. Contact : 02 43 49 84 00, contact@53-72.cerfrance.fr, http://www.53-72.cerfrance.fr;Levaré;53;53132;53120;48.41849, -0.920536;2019-01-17;2019-02-05;;;;;2019-02-05;2019-02-05;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/levare-53132/agenda/cerfrance-mayenne-sarthe-agence-de-gorron_6414654;;;Français;fr_FR;;;;
6412223;Atelier, activité de loisirs;31;35/Rennes;Loisirs solidarité retraités;Association;39029;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Autre;141;Loisirs solidarité retraités;Activités du jour.;À 14 h, boules et palets, au parc de la Touche.;Mardi 12 février, Parc de la Touche, Rennes. Contact : 02 99 78 27 89, lsr.rennes@laposte.net;Rennes;35;35238;35000;48.11, -1.68;2019-01-17;2019-02-12;;;;;2019-02-12;2019-02-12;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;Facebook;;;https://infolocale.ouest-france.fr/rennes-35238/agenda/loisirs-solidarite-retraites_6412223;;52;Français;fr_FR;;;;
6415352;Sport;24;44/Drefféac;ABC 3 Rivières basket-ball;Association;360490;V;Loisir;Loisirs et sports;Sport;Mémento sportif;289;Basket ABC 3 Rivières;Mémento sportif.;"Samedi, mini-Poussines U9 contre Saint-Brévin à 14 h ; poussines U11 F2 contre Crossac à 15 h 30 ; benjamines U13 F2 contre Notre-Dame-des-Landes à 17 h.";Samedi 19 janvier, salle polyvalente, Drefféac.;Drefféac;44;44053;44530;47.4759, -2.05658;2019-01-17;2019-01-19;;;;;2019-01-19;2019-01-19;non;non;;;;;;;;;;;;;;;;;Moteur;;;;;;;;;;;;;https://infolocale.ouest-france.fr/dreffeac-44053/agenda/basket-abc-3-rivieres_6415352;;;Français;fr_FR;;;;
6407390;Spectacle;21;44/Nantes;le théâtre de Jeanne;Équipement (tourisme, culture, sport et loisir);103062;V;Loisir;Concerts, spectacles;Autres scènes;Humour;15;Arrête de pleurer, Pénélope !;Humour.;Comédie. Quand 3 copines à l’amitié qui vieillit mal se retrouvent en attendant la 4e pour fêter son enterrement de vie de jeune fille, ça va faire des étincelles : règlements de compte, mensonge, vérités, chamailleries, beaucoup de fous rires et de féminité.;Dimanche 29 septembre, 17h, le théâtre de Jeanne, 5, rue des Salorges, Nantes. Tarif 20€, autre : 12 € étudiants et demandeurs d’emploi, sauf les vendredis et samedis. Contact et réservation : 06 99 10 76 05, resa.theatredejeanne@gmail.com, http://www.theatre-jeanne.com;Nantes;44;44109;44000;47.2046, -1.575567;2019-01-17;2019-09-29;;;;;2019-09-29;2019-09-29;non;oui;20.0;;12 € étudiants et demandeurs d’emploi, sauf les vendredis et samedis;http://photos.infolocale.fr/infoLocale/annonce/2019/0112/6407390/_1.jpg;;;;;;;;;;;;;Visuel|Mental|Moteur;;;;;;;;;;;;;https://infolocale.ouest-france.fr/nantes-44109/agenda/arrete-de-pleurer-penelope_6407390;;;Français;fr_FR;;;;
6415330;Jeux, concours;29;44/Saint-Mars-de-Coutais;Apel Sainte-Thérèse;Association;384704;V;Loisir;Loisirs et sports;Jeux, concours, rallye;Autre;134;Tournoi de toc;;Organisé par l’Apel de l’école Sainte-Thérèse. Ce jeu en bois a le même principe que le jeu des petits chevaux en avançant avec un jeu de cartes. Adapté aux enfants à partir de 7 ans.;Dimanche 27 janvier, 14h à 18h, restaurant scolaire, place de l’Église, Saint-Mars-de-Coutais. Tarif 5 € par équipe de 2 joueurs. Contact et réservation : 06 61 37 86 71, cathfab44@free.fr;Saint-Mars-de-Coutais;44;44178;44680;47.1128, -1.73565;2019-01-17;2019-01-27;;;;;2019-01-27;2019-01-27;non;oui;;;5 € par équipe de 2 joueurs;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6415330/_1.jpg;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6415330/_2.jpg;;;;;;;;;;Auditif;;;;;;;;;;;;;https://infolocale.ouest-france.fr/saint-mars-de-coutais-44178/agenda/tournoi-de-toc_6415330;;;Français;fr_FR;;;;
6413728;Jeux, concours;29;44/Saint-Herblain;UFSH football;Association;62017;V;Loisir;Loisirs et sports;Jeux, concours, rallye;Autre;134;Concours de palets;;Organisé par l’UFSH football festivités. En doublette, palets en laiton sur planche plomb. Inscriptions et restauration sur place à partir de 13 h 15.;Samedi 2 mars, 14h, salle associative, Vigneau, Saint-Herblain. Tarif 7 € par personne. Contact : 06 89 23 56 33, http://www.ufsh.fr;Saint-Herblain;44;44162;44800;47.21442, -1.63888;2019-01-17;2019-03-02;;;;;2019-03-02;2019-03-02;non;oui;;;7 € par personne;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/saint-herblain-44162/agenda/concours-de-palets_6413728;;;Français;fr_FR;;;;
6412920;Sport;24;44/Saint-Étienne-de-Mer-Morte;La Choltière Paux Mer Morte basket;Association;381183;V;Loisir;Loisirs et sports;Sport;Match;117;La Choltière Paulx Mer-Morte basket, championnat NM3;;La Choltière contre Hagetmau Doazit Chalosse. Bar et restauration sur place.;Samedi 2 mars, 20h, salle de sports, rue des Vallées, Saint-Étienne-de-Mer-Morte.;Saint-Étienne-de-Mer-Morte;44;44157;44270;46.92634, -1.742931;2019-01-17;2019-03-02;;;;;2019-03-02;2019-03-02;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/saint-etienne-de-mer-morte-44157/agenda/la-choltiere-paulx-mer-morte-basket-championnat-nm3_6412920;;;Français;fr_FR;;;;
6415222;Randonnée;14;56/Theix-Noyalo;Randonnée les Passe-partout;Association;385679;V;Loisir;Loisirs et sports;Sport;Randonnée pédestre;112;Randonnée les Passe-partout;Randonnée pédestre.;Randonnée pédestre à Sarzeau.;Vendredi 25 janvier, 13h30, départ du parking Carrefour Market, Theix-Noyalo. Contact : 06 58 28 05 89.;Theix-Noyalo;56;56251;56450;47.60994, -2.67972;2019-01-17;2019-01-25;;;;;2019-01-25;2019-01-25;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/theix-noyalo-56251/agenda/randonnee-les-passe-partout_6415222;;;Français;fr_FR;;;;
6415278;Religion;50;29/Laz;paroisse St Herbot;Institution religieuse;371884;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Messe;108;Messe;Dimanche 20 janvier, 10h30, Laz.;;;Laz;29;29122;29520;48.1371, -3.83753;2019-01-17;2019-01-20;;;;;2019-01-20;2019-01-20;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/laz-29122/agenda/messe_6415278;;;Français;fr_FR;;;;
6415373;Formation, vie scolaire, concours;32;35/Saint-Lunaire;Association des secouristes de la Côte d'Emeraude;Association;295816;V;Pratique;Réunions formations cérémonies;Formation, vie scolaire, examens, concours;Formation;104;Formation aux gestes de premiers secours PSC1;Organisateur : Association des secouristes de la Côte d'Émeraude.;Venez apprendre les gestes qui sauvent. Durée de la formation, 1 journée. L'ASCE propose deux formations PSC1 par semaine pendant tous l'été. Choississez la journée qui vous convient, le lundi, à Saint-Lunaire ou le vendredi, à Dinard, à l'ENS. Autres dates sur secourisme35.com. À partir de 10 ans.;Lundi 15 juillet, 8h45 à 12h et 13h30 à 17h, à la salle Jean-Rochefort, boulevard du Cap-Hornier, Saint-Lunaire. Payant. Contact et réservation : 02 99 46 27 63, asce@wanadoo.fr;Saint-Lunaire;35;35287;35800;48.63332, -2.10794;2019-01-17;2019-07-15;;;;;2019-07-15;2019-07-15;non;oui;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6415373/_1.jpg;formation PSC 1;ASCE;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/saint-lunaire-35287/agenda/formation-aux-gestes-de-premiers-secours-psc1_6415373;;;Français;fr_FR;;;;
