Numéro;Libellé;Description;Quartier;Réalisé;Année_Budget;Lien_page_projet;Photo;Latitude;Longitude;Geolocalisé;Geo
1-604;"Dessiner des marelles et des jeux sur les trottoirs et places de la ville
Place Simone de Beauvoir";Création de 24 marelles, soit deux par quartier, pour permettre aux enfants de jouer dehors dans tout endroit.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/dessiner-des-marelles-et-des-jeux-sur-les-trottoirs-et-places-de-la-ville;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/2915db06294037fc724500ba2e1ea79349ccf694.jpeg;48.117968;-1.689296;O;48.117968,-1.689296
1-726;Fours à pain de rue;Construction de fours à pain publics, à horaires de fonctionnement déterminés, en milieu urbain.;10 - Villejean - Beauregard;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/fours-a-pain-de-rue;;48.122137;-1.7185082;O;48.122137,-1.7185082
1-742;Compost de quartiers;Placer dans chaque quartier rennais, quelque soient les zones géographiques ou socio-culturelles, un ou plusieurs composts accessibles aux habitants qui le souhaitent.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/compost-de-quartiers;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/63d5a39fac2940b666983f331ae0e279ef81667d.jpeg;48.107199;-1.666352;O;48.107199,-1.666352
1-815;Aménagement d'espaces verts pédagogiques : rue du Parc et rue du Verger.;Des jardinières ont été installées dans les espaces verts de la rue du Parc et rue du Verger.;2 - Thabor - Saint-Hélier - Alphonse Guérin;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/amenagement-d-espaces-verts-pedagogiques-rue-du-parc-et-rue-du-verger;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/1a3d877f891df94d37d079d6ba9c71205e237914.jpeg;48.110868;-1.669794;O;48.110868,-1.669794
1-813;Aménagement d'espaces verts pédagogiques : rue du Parc et rue du Verger.;Des jardinières ont été installées dans les espaces verts de la rue du Parc et rue du Verger.;2 - Thabor - Saint-Hélier - Alphonse Guérin;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/amenagement-d-espaces-verts-pedagogiques-rue-du-parc-et-rue-du-verger;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/aa73d14f933543ec3547cd8bd506fde3f85d4a5f.jpeg;48.106724;-1.666861;O;48.106724,-1.666861
1-862;Un parquet de bal pour les quartiers rennais !;Investir dans un véritable parquet de bal, une structure semi-mobile ayant vocation à s'implanter année après année dans les quartiers rennais pour y déployer une programmation régulière de spectacle vivant et un travail de sensibilisation artistique et culturelle.;2 - Thabor - Saint-Hélier - Alphonse Guérin;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/un-parquet-de-bal-pour-les-quartiers-rennais;;48.1261313;-1.7076269;O;48.1261313,-1.7076269
1-870;Horloge - Animation Saint-Michel;;1 - Centre;A l'étude;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/horloge-animation-saint-michel;;;;N;
1-967;des chèvres pour tondre les jardins !;Développement de l'éco-pâturage sur l'espace public en particulier sur le parc du Landry.;7 - Francisco Ferrer - Landry - Poterie;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/des-chevres-pour-tondre-les-jardins;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/e40c989e1e5ba2c0d17a3a4955d60b18116a01f2.jpeg;48.097466;-1.644575;O;48.097466,-1.644575
2-325;Terrains de tennis à Villejean-Beauregard, un projet écosportif!;Le projet consiste en la transformation d'un terrain vague à Beauregard en un terrains de tennis. Situé en bordure de rocade en terrains de tennis en plein air, le terrain serra accessible à tous les Rennais et particulièrement aux habitants du quartier.;10 - Villejean - Beauregard;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/terrains-de-tennis-a-villejean-beauregard-un-projet-ecosportif;;48.131987;-1.7071;O;48.131987,-1.7071
2-415;Mur Végétalisé sous les ponts;La proposition consiste à réaliser une végétalisation uniquement  sous le pont du boulevard Voltaire, le pont de Nantes vient de bénéficier d'une fresque dans le cadre du budget participatif saison 1.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/mur-vegetalise-sous-les-ponts;;48.101585;-1.684636;O;48.101585,-1.684636
2-476;STOP aux déjections canines sous les chaussures;Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche;;48.106715;-1.701374;O;48.106715,-1.701374
2-476;STOP aux déjections canines sous les chaussures;Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche;;48.109126;-1.690514;O;48.109126,-1.690514
2-476;STOP aux déjections canines sous les chaussures;Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche;;48.114978;-1.686377;O;48.114978,-1.686377
2-476;STOP aux déjections canines sous les chaussures;Le projet consiste ici à développer une meilleure signalétique concernant les déjections canines, et les lieux de distribution de sacs.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-crottes-c-est-sale-ca-pue-et-c-est-moche;;48.105335;-1.668855;O;48.105335,-1.668855
2-501;Micro-fabrique d’objets à partir de déchets plastiques;L'idée de ce projet est de créer une micro-fabrique qui permettra aux Rennais de transformer leurs déchets plastiques en nouveaux objets.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/micro-fabrique-d-objets-a-partir-de-dechets-plastiques;;48.10162;-1.706746;O;48.10162,-1.706746
2-181;Des jardins aromatiques partagés sur le Mail;Il s'agit d'installer des bacs pour la mise en culture et usage partagés de plantes aromatiques, sous couvert d'une association ou d'un collectif.;3 - Bourg l'Evesque - La Touche - Moulin du Comte;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/des-jardins-aromatiques-partages-sur-le-mail;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/09af09330f6db39b8c28f58dbdc1639cf161b83f.jpeg;48.109491;-1.690311;O;48.109491,-1.690311
2-587;Les Glaneurs Rennais : tente de glanage sur les marchés Rennais;La demande concerne l'équipement d'une tente pour valoriser le glanage à l'issue des marchés rennais.;;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/les-glaneurs-rennais-tente-de-glanage-sur-les-marches-rennais;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/b017db160a232e52c16956bbb583fe7e8fd89830.jpeg;48.112021;-1.686008;O;48.112021,-1.686008
2-613;Une aire d'arrêt minute au métro Villejean;Ce projet consiste à réaliser une aire d'arrêt minute à l'usage du covoiturage.;10 - Villejean - Beauregard;A l'étude;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/une-aire-d-arret-minute-au-metro-villejean;;;;N;
2-309;Sur les quais, remplacer la fontaine par un jardin aux usages multiples;"En complément du projet issu de la saison 1 du budget participatif ""des jardins flottants"", actuellement à l'étude,  un aménagement réversible pourra être réalisé sur l'un des côtés de la fontaine pour se poser et contempler la Vilaine.";2 - Thabor - Saint-Hélier - Alphonse Guérin;En cours;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/sur-les-quais-remplacer-la-fontaine-par-un-jardin-aux-usages-multiples;;48.11006;-1.670934;O;48.11006,-1.670934
3-95;Street-Art du pont de la rue de Lorient;"En parallèle de la réhabilitation de la rue de Lorient, je vous propose un projet de modernisation/nettoyage du pont de la voie de chemin de fer de la rue de Lorient en faisant participer un ou plusieurs street artistes en vogue aujourd'hui à Rennes qui pourrai(en)t nous créer une belle oeuvre.

Ce pont est malheureusement terni par les pigeons vivants (ou bien souvent morts) alors que c'est le seul chemin d'accès pour rejoindre la ville à pied et je pense donc que ce pont doit être :
1. nettoyé des fientes de pigeons et autres éventuels pigeons présents sous la bâche du plafond...
2. sécuriser par l'installation de picots à pigeon
3. valorisé par nos artistes de rue rennais qui ont réalisé de très belles oeuvres (cf halage de la vilaine et parcours street art); et également le pont boulevard voltaire.

Soutenons l'art urbain en faisant de la modernisation de notre quartier un point d'accroche dans les parcours de street-art rennais et une agréable balade pour rejoindre le centre ville rennais.";3 - Bourg l'Evesque - La Touche - Moulin du Comte;Réalisé;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/street-art-du-pont-de-la-rue-de-lorient;;48.107867;-1.701286;O;48.107867,-1.701286
3-124;Parc Oberthur : Rénovation des jeux et installation d'un toboggan;Comparés à ceux du Thabor ou ceux du square des français libres , les jeux du parc Oberthur font triste mine. L'installation de nouveaux jeux pour enfants, en particulier d'un toboggan qui est le grand absent, serait un plus pour nos petites têtes blondes, brunes, ou rousses.;2 - Thabor - Saint-Hélier - Alphonse Guérin;En cours;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/parc-oberthur-renovation-des-jeux-et-installation-d-un-toboggan;;48.112820;-1.659663;O;48.11282,-1.659663
3-153;Un jardin d'hiver à Beauregard;Dans le grand espace urbain de Beauregard, déjà composé d'arbres centenaires et de haies bocagères, la construction d'une serre s'inscrit dans la continuité de la politique environnementale menée par la Ville. Ce lieu offre aux citoyens la liberté d'aller et venir, de semer, de planter, de se ressourcer, il peut également faire parti d'un circuit touristique. Ce projet fédérateur est avant tout un incubateur de jeunes pousses, qui permettent la ramification d'un lien socio-culturel fort et universel.;10 - Villejean - Beauregard;A l'étude;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/un-jardin-d-hiver-a-beauregard;;;;N;
3-171;Aménager des terrains de pétanque, palets, mölkky, etc. sur l'avenue Henri-Fréville;"Nous sommes un collectif de personnes – baptisé « Ze Comity » - travaillant en proximité immédiate de l'avenue Henri-Fréville. Nous reprenons une idée qui avait été proposée l'année dernière puis soumise aux votes. Cette proposition nous avait plu et nous la trouvions judicieuse pour améliorer la vie du quartier. Malheureusement, le nombre de votes, même s'il a été important, n'a pas suffi et le projet n'a pas été retenu. Nous reprenons donc l'argumentaire de 2016, agrémenté de photos du site concerné.

La Ville a réalisé ces dernières années un aménagement paysager d'ampleur sur le terre-plein central de l’avenue Henri-Fréville. Un beau projet pour cette avenue qui, caractérisée par un important trafic automobile et un grand nombre de bureaux, n’attirait pas les flâneurs en journée.
Des éléments de mobilier urbain : bancs, tables, sièges, ont été ajoutés à l’intention des riverains, contribuant à la convivialité des lieux.
Mais étrangement, l’espace est resté très peu fréquenté, même aux beaux jours.
Notre proposition, très simple et d’un coût sans doute très modeste, est d’ajouter aux récents aménagements de l’avenue, des espaces sablés ou gravillonnés permettant la pratique de jeux d’extérieur comme la pétanque, les palets, le mölkky, etc.";11 - Le Blosne;Réalisé;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/amenager-un-espace-de-convivialite-permettant-la-pratique-de-jeux-sur-le-terre-plein-central-de-l-avenue-henri-freville;;48.090729;-1.674627;O;48.090729,-1.674627
3-308;Reforester la coulée verte;"La coulée verte est le stigmate d'un projet heureusement avorté de voie express pour rejoindre le centre-ville depuis la rocade
Il s'impose aujourd'hui comme un lieu de référence pour rejoindre le centre ville à vélo ou à pied, loin du tumulte des véhicules thermiques

Le projet est de véritablement reboiser une partie restant à déterminer de cette espace, pour bénéficier de tous les avantages d'un espace forestier au sein de la ville (Purification de l'air, tampon thermique, paysage, lieu ressources...)";5 - Maurepas - Bellangerais;En cours;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/reforester-la-coulee-verte;;48.129146;-1.676445;O;48.129146,-1.676445
3-403;Un city-stade pour vivre ensemble;"Ce projet est porté par les enfants du terrain des gens du voyage du Petit Champeaux.
Depuis deux ans, les animateurs du service socio-sport du CPB interviennent les mercredis après-midis sur les deux terrains d'accueil des gens du voyage, afin de permettre aux enfants des terrains d'accéder à la culture sportive.
Malheureusement, ces séances d'initiation sont circonscrites dans une salle polyvalente (25 m²), ce qui limite le choix des activités.
Notre projet est donc de construire un city stade, ouvert à tous, sur le terrain du Petit Champeaux ou accolé au terrain.";3 - Bourg l'Evesque - La Touche - Moulin du Comte;A l'étude;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/un-city-stade-pour-vivre-ensemble-1;;48.115283;-1.723830;O;48.115283,-1.72383
3-540;Ferme urbaine Féhu;"A l’initiative du Collectif du Gacet (Les Fruits du Gacet), la ferme de quartier sera un lieu de production d’aliments sains, locaux et à bas prix, par et pour les habitants du quartier.
La ferme est également imaginée pour être un lieu ressource pour l’insertion professionnelle.
Elle sera aussi un lieu de rencontre pour les habitants, qui pourront s’y réunir pour jardiner et participer à des ateliers et des évènements autour de l’agriculture urbaine, l’alimentation, la protection de la biodiversité...
Le collectif souhaite créer ce lieu pour l’ensemble des habitants du quartier. Ils sont accompagnés par des associations d’agriculture urbaine et d’agroécologie.
Pendant la phase d’étude et de conception de la ferme, nous souhaitons renforcer l’implication des autres habitants en agrandissant le collectif et en y intégrant d’autres associations situées au Blosne.
Une fois la ferme installée, le collectif d’habitants sera chargé de définir, en lien avec l’équipe opérationnelle : les plantations, l’animation de la Ferme, la distribution des produits...";11 - Le Blosne;Réalisé;Budget participatif #3 (2018);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-3/collect/depot-des-projets-2/proposals/ferme-urbaine-fehu;;48.089519;-1.658431;O;48.089519,-1.658431
7-9;PARC EN MOSAÏQUE;Embellir de mosaïques le parc des Tanneurs en un espace convivial, amical et familial, projet participatif porteur de mixité sociale.;2 - Thabor - Saint-Hélier - Alphonse Guérin;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/parc-en-mosaique;;48.119934;-1.678634;O;48.119934,-1.678634
7-151;Végétalisons les champs libres !;Restituer de l’humidité dans l’air, créer des zones d’ombres en végétalisant les abords des Champs Libres.;1 - Centre;Réalisé;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/vegetalisons-les-champs-libres-1;;48.105196;-1.674857;O;48.105196,-1.674857
7-161;Théâtre urbain sous la grande halle du Triangle;Aménager l’actuel « Practice » de la grande halle du Triangle en théâtre urbain afin de recevoir du public à l’abri des intempéries.;11 - Le Blosne;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/theatre-urbain-sous-la-grande-halle-du-triangle;;48.088816;-1.659444;O;48.088816,-1.659444
7-182;Réfection du boulodrome, placette Odette Seveur, rue Robidou;Rénover le boulodrome, en changeant la surface afin qu’elle soit plus adaptée à la pratique de ce sport.;2 - Thabor - Saint-Hélier - Alphonse Guérin;Réalisé;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/refection-du-boulodrome-placette-odette-seveur-rue-robidou-2;;48.107762;-1.6609077;O;48.107762,-1.6609077
7-200;Mur d'escalade au parc du Berry;Création d’un mur d’escalade au parc du Berry afin de donner un accès facile à tous les Rennais à cette activité.;10 - Villejean - Beauregard;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/mur-descalade-au-parc-du-berry-1;;48.1203208;-1.716649;O;48.1203208,-1.716649
7-206;La Caravane des cultures;"Il s’agit d’aménager un véhicule en scène mobile de type caravane-scène, autonome en son et lumière en priorité pour les actions du Grand Soufflet et les associations du Blosne et pourra facilement
migrer sur d’autres quartiers.";11 - Le Blosne;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/la-caravane-des-cultures;;;;N;
7-268;Des jardins verticaux dans la ville de rennes;Mise en place d’espaces verts verticaux (sur les lampadaires, murs…), dans les lieux emblématiques de la ville. NB : ce projet n’est réalisable que sur le patrimoine municipal.;Projet à l'échelle de la Ville;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/des-jardins-verticaux-dans-la-ville-de-rennes;;;;N;
7-515;Le Gros Malhon demain : un espace de détente et de loisirs;Le projet prévoit un aménagement végétalisé de l’ancien stade Gros-Malhon ainsi qu’une ouverture piétonne sur le canal.;4 - Saint Martin;A l'étude;Budget participatif #4 (2019);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-4-2/collect/depot-des-projets-3/proposals/proposition-sans-titre-35;;;;N;
1-40;Pompe à vélo et petits outils.;Installation de pompes à vélo et petits outils aux abords de centres commerciaux.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pompe-a-velo-et-petits-outils;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/32dcb0a50e396fabc2fd1fcde4560d0331221342.jpeg;48.109925;-1.686497;O;48.109925,-1.686497
1-110;Aménager la vie de la Vilaine;Des équipements sportifs, d’une table de pique-nique, de bancs et de corbeilles ont été installés au bord de la Vilaine.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/amenager-la-vie-de-la-vilaine;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/972368b3757f5b2512531d4b0a7992b2c9d158ab.jpeg;48.10662;-1.660322;O;48.10662,-1.660322
1-110;"Aménager la vie de la Vilaine
Table pique-nique - Pont Malakoff";Des équipements sportifs, d’une table de pique-nique, de bancs et de corbeilles ont été installés au bord de la Vilaine.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/amenager-la-vie-de-la-vilaine;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/972368b3757f5b2512531d4b0a7992b2c9d158ab.jpeg;48.107387;-1.693924;O;48.107387,-1.693924
1-146;Fresque murale sous le pont de Nantes;Installation d'une fresque murale mêlant artistes et habitants sous le pont de Nantes, réalisée par la Crémerie.;8 - Sud gare;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/fresque-murale-sous-le-pont-de-nantes;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/17516e15da36525f20fd4309183c0ff173841728.jpeg;48.101585;-1.684572;O;48.101585,-1.684572
1-204;Piste cyclable de la rue de Saint-Malo;Ce projet consiste au  renforcement du marquage au sol rue de Saint-Malo, effectué à l'intersection trottoir piéton/ piste cyclable.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/piste-cyclable-de-la-rue-de-saint-malo;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/9360eb03e4ceb986bf903c0d91ea1d8991ff9927.jpeg;48.117935;-1.680748;O;48.117935,-1.680748
1-350;Esplanade Général de Gaulle jardin participatif;Le projet consiste au  réaménagement de l'esplanade du Champs de Mars, cette allée végétalisée qui court du boulevard Magenta jusqu'à la rue de l'Alma, en passant derrière les Champs Libres. Tout le long de l'esplanade, sera aménagé : une aire de jeux pour enfants, une aire de jeux pour les grands (palets et boules), des espaces pour pique-niquer, un jardin partagé.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/esplanade-general-de-gaulle-jardin-participatif;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/b7c24b2bc71c9bcbadb44a87e419e33eee757961.jpeg;48.104744;-1.67451;O;48.104744,-1.67451
1-356;Davantage de toilettes publics dans le centre ville.;Installation de nouvelles toilettes publiques.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/davantage-de-toilettes-publics-dans-le-centre-ville;;48.114164;-1.682405;O;48.114164,-1.682405
1-362;Pose de cendriers de rue;Mise en place de cendriers de rue.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg;48.115259;-1.67694;O;48.115259,-1.67694
1-362;Pose de cendriers de rue;Mise en place de cendriers de rue.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg;48.112423;-1.67831;O;48.112423,-1.67831
1-362;Pose de cendriers de rue;Mise en place de cendriers de rue.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg;48.106014;-1.680255;O;48.106014,-1.680255
1-364;"Pose de bancs publics et chaises fixées au sol
Rue de Toulouse";Il s'agit de renforcer la présence de bancs sur l'espace public, adaptés aux personnes âgées et en situation de handicap.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-bancs-publics-et-chaises-fixees-au-sol;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/eb01f53406e9be69f200b65d9076fcecad504b01.jpeg;48.112411;-1.680862;O;48.112411,-1.680862
1-364;"Pose de bancs publics et chaises fixées au sol
Rue Rallier du Baty";Il s'agit de renforcer la présence de bancs sur l'espace public, adaptés aux personnes âgées et en situation de handicap.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-bancs-publics-et-chaises-fixees-au-sol;;48.113075;-1.681381;O;48.113075,-1.681381
1-371;Favoriser la création d'un Théâtre de Verdure participatif dans les Prairies St Martin;"Mise en place d'une meilleure signalisation du site de ""la plomberie du canal""";4 - Saint Martin;Non réalisable;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/favoriser-la-creation-d-un-theatre-de-verdure-particiaptif-dans-les-prairies-st-martin;;;;N;
1-513;"Bibliothèque de rue
Beauregard - Avenue Cucillé";"Mise en place d'une bibliothèque de rue sur le quartier de Beauregard à proximité du Cadran, en lien avec les associations 3 regards et Léo Lagrange.

Cette bibliothèque de rue permet aux habitants d'avoir un rayonnage situé sur l'espace public, accessible sans abonnement ni inscription, 7j/7, 24h/24.";10 - Villejean - Beauregard;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/bibliotheque-de-rue-1;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/28afb978638fbb3284b06fd5c44dfd99437654a6.jpeg;48.13006;-1.69629;O;48.13006,-1.69629
1-519;Construire un nouveau mur d'escalade à Rennes;;6 - Jeanne d'Arc - Longs Champs -  Beaulieu;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/construire-un-nouveau-mur-d-escalade-a-rennes;;48.125638;-1.649991;O;48.125638,-1.649991
1-560;"Croque-Rennes
Square de la Touche";Création de boîtes à livres ludiques dans les parcs, sur les places et à côté des association de quartier. 24 boîtes à livres sont proposés sur le territoire rennais, pour que tout le monde puisse déposer et prendre un ou plusieurs livres qu'il a envie de lire, puis peut les remettre pour que d'autres personnes en profitent à leur tour.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/croque-rennes;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/6e37abf837410e5b61094a4fb46a029cd0e56a99.jpeg;48.116411;-1.694112;O;48.116411,-1.694112
1-560;"Croque-Rennes
Parc Villeneuve";Création de boîtes à livres ludiques dans les parcs, sur les places et à côté des association de quartier. 24 boîtes à livres sont proposés sur le territoire rennais, pour que tout le monde puisse déposer et prendre un ou plusieurs livres qu'il a envie de lire, puis peut les remettre pour que d'autres personnes en profitent à leur tour.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/croque-rennes;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/e19749103030b453c7c5fc67ce7a4f7c6af7642a.jpeg;48.09796;-1.682536;O;48.09796,-1.682536
1-560;"Croque-Rennes
Parc de Beauregard";Création de boîtes à livres ludiques dans les parcs, sur les places et à côté des association de quartier. 24 boîtes à livres sont proposés sur le territoire rennais, pour que tout le monde puisse déposer et prendre un ou plusieurs livres qu'il a envie de lire, puis peut les remettre pour que d'autres personnes en profitent à leur tour.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/croque-rennes;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/1293bee63ded3bbaff47f8448c1cb3498c363cd2.jpeg;48.131221;-1.699716;O;48.131221,-1.699716
